BPM,120
BEAT,4,4

1,1,0,1
1,1,0,7
1,2,0,2
1,2,0,8
1,3,0,3
1,3,0,9
1,4,0,4
1,4,0,10
2,1,0,5
2,1,0,11
2,2,0,6
2,2,0,12
2,3,0,1
2,3,2,7
2,4,0,2
2,4,2,8
3,1,0,1
3,1,1,4
3,1,2,7
3,1,3,10
3,2,0,2
3,2,1,5
3,2,2,8
3,2,3,11
3,3,0,3
3,3,1,6
3,3,2,9
3,3,3,12
3,4,0,4
3,4,2,10
4,1,0,1
4,1,0,12
4,2,0,2
4,2,0,11
4,3,0,3
4,3,0,10
4,4,0,4
4,4,0,9
5,1,0,5
5,1,0,8
5,2,0,6
5,2,0,7
5,3,0,1
5,3,1,3
5,3,2,5
5,3,3,7
5,4,0,9
5,4,1,10
5,4,2,11
5,4,3,12
6,1,0,1
6,1,0,7
6,2,0,3
6,2,0,9
6,3,0,5
6,3,0,11
6,4,0,2
6,4,0,8
7,1,0,1
7,1,1,2
7,1,2,3
7,1,3,4
7,2,0,5
7,2,1,6
7,2,2,7
7,2,3,8
7,3,0,9
7,3,1,10
7,3,2,11
7,3,3,12
7,4,0,1
7,4,0,12
8,1,0,1
8,1,0,4
8,1,0,7
8,1,0,10
8,2,0,2
8,2,0,5
8,2,0,8
8,2,0,11
8,3,0,3
8,3,0,6
8,3,0,9
8,3,0,12
8,4,0,1
8,4,0,7
